"National
Dex","Pokemon
Name",Generation,Type,"Kanto Dex #
(RBYFRLG)","Kanto Dex #
(LGPE)","New Dex #
(GSC)","Johto Dex #
(HGSS)","Hoenn Dex #
(RSE)","Hoenn Dex #
(ORAS)","Sinnoh Dex #
(DPBDSP)","Sinnoh Dex #
(Pt)","Unova Dex #
(BW)","Unova Dex #
(B2W2)","Central Kalos Dex #
(XY)","Coastal Kalos Dex #
(XY)","Mount Kalos Dex #
(XY)","Alola Dex #
(SM)","Melemele Dex #
(SM)","Akala Dex #
(SM)","Ula'ula Dex #
(SM)","Poni Dex #
(SM)","Alola Dex #
(USUM)","Melemele Dex #
(USUM)","Akala Dex #
(USUM)","Ula'ula Dex #
(USUM)","Poni Dex #
(USUM)","Galar Dex #
(SwSh)","Isle of Armor Dex #
(SwSh)","Crown Tund Dex #
(SwSh)","Hisui Dex #
(LA)","Paldea Dex #
(SV)",Kitakami Dex # (SV),Blueberry Dex # (SV),HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,Height (ft),Height (m),Weight (lbs),Weight (kg),HP EVs,Attcak EVs,Defense EVs,Special Attack EVs,Special Defense EVs,Speed EVs,"Experience
Value",Catch Rate,"Experience
Growth",Base Friendship,Pokedex Color,Gender Ratio,Egg Cycles,Egg Group I,Egg Group II,"Evolution
Method"
163,Hoothoot,2,,,,15,15,,,106,106,,,,,117,,,,,,212,,113,,,19,,,,,45,,60,30,30,36,56,50,262,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,"2'04""","0,7","46,7","21,2",1,,,,,,52,255,Med Fast,50,Brown,Neutral,15,Flying,,Lv. 20
164,Noctowl,2,,,,16,16,,,107,107,,,,,118,,,,,,213,,114,,,20,,,,,46,,100,50,50,86,96,70,452,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,"5'03""","1,6","89,9","40,8",2,,,,,,158,90,Med Fast,50,Brown,Neutral,15,Flying,,
165,Ledyba,2,,,,30,30,,,,,,,74,,,20,20,,8,,20,20,,8,,,,,,,,,40,20,30,40,80,55,265,Bug,Flying,Swarm,Early Bird,Rattled,"3'03""",1,"23,8","10,8",,,,,1,,53,255,Fast,50,Red,Neutral,15,Bug,,Lv. 18
166,Ledian,2,,,,31,31,,,,,,,75,,,21,21,,9,,21,21,,9,,,,,,,,,55,35,50,55,110,85,390,Bug,Flying,Swarm,Early Bird,Iron Fist,"4'07""","1,4","78,5","35,6",,,,,2,,137,90,Fast,50,Red,Neutral,15,Bug,,
167,Spinarak,2,,,,32,32,,,,,,,,,107,22,22,,10,,22,22,,10,,,,,,,1,,40,60,40,40,40,30,250,Bug,Poison,Swarm,Insomnia,Sniper,"1'08""","0,5","18,7","8,5",,1,,,,,50,255,Fast,50,Green,Neutral,15,Bug,,Lv. 22
168,Ariados,2,,,,33,33,,,,,,,,,108,23,23,,11,,23,23,,11,,,,,,,2,,70,90,70,60,70,40,400,Bug,Poison,Swarm,Insomnia,Sniper,"3'07""","1,1","73,9","33,5",,2,,,,,140,90,Fast,50,Red,Neutral,15,Bug,,
169,Crobat,2,,,,39,39,65,67,30,30,,63,147,,,70,70,28,37,21,82,82,28,37,28,,,146,36,,,,85,90,80,70,80,130,535,Poison,Flying,Inner Focus,,Infiltrator,"5'11""","1,8","165,3",75,,,,,,3,268,90,Med Fast,50,Purple,Neutral,15,Flying,,
170,Chinchou,2,,,,174,176,181,190,,,,,,147,,201,,128,,,257,,158,,,220,188,,,,,78,75,38,38,56,56,67,330,Water,Electric,Volt Absorb,Illuminate,Water Absorb,"1'08""","0,5","26,5",12,1,,,,,,66,190,Slow,50,Blue,Neutral,20,Water 2,,Lv. 27
171,Lanturn,2,,,,175,177,182,191,,,,,,148,,202,,129,,,258,,159,,,221,189,,,,,79,125,58,58,76,76,67,460,Water,Electric,Volt Absorb,Illuminate,Water Absorb,"3'11""","1,2","49,6","22,5",2,,,,,,161,75,Slow,50,Blue,Neutral,20,Water 2,,
172,Pichu,2,Baby,,,21,21,155,162,103,103,,,35,,,24,24,,,,31,31,,,,193,84,,55,73,20,,20,40,15,35,35,60,205,Electric,,Static,,Lightningrod,"1'00""","0,3","4,4",2,,,,,,1,41,190,Med Fast,50,Yellow,Neutral,10,Undiscovered,,Friendship
173,Cleffa,2,Baby,,,40,40,,,99,99,,88,,,,210,,,82,,272,,,93,,254,,43,199,,151,,50,25,28,45,55,15,218,Fairy,,Cute Charm,Magic Guard,Friend Guard,"1'00""","0,3","6,6",3,,,,,1,,44,150,Fast,140,Pink,F (75%),10,Undiscovered,,Friendship
174,Igglybuff,2,Baby,,,43,43,137,142,,,,281,,,119,134,,61,,,167,,68,,,,11,,,59,,,90,30,15,40,20,15,210,Normal,Fairy,Cute Charm,,Friend Guard,"1'00""","0,3","2,2",1,1,,,,,,42,170,Fast,50,Pink,F (75%),10,Undiscovered,,Friendship
175,Togepi,2,Baby,,,46,46,,,,173,,,,,,,,,,,,,,,,257,,,127,,,,35,20,65,40,65,20,245,Fairy,,Hustle,Serene Grace,Super Luck,"1'00""","0,3","3,3","1,5",,,,,1,,49,190,Fast,50,White,M (87.5%),10,Undiscovered,,Friendship
176,Togetic,2,,,,47,47,,,,174,,,,,,,,,,,,,,,,258,,,128,,,,55,40,85,80,105,40,405,Fairy,Flying,Hustle,Serene Grace,Super Luck,"2'00""","0,6","7,1","3,2",,,,,2,,142,75,Fast,50,White,M (87.5%),10,Flying,Fairy,Shiny Stone
177,Natu,2,,,,159,161,162,169,,,,,,,,,,,,,252,,153,,,92,,,,,,,40,50,45,70,45,70,320,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,"0'08""","0,2","4,4",2,,,,1,,,64,190,Med Fast,50,Green,Neutral,20,Flying,,Lv. 25
178,Xatu,2,,,,160,162,163,170,,,,,,,,,,,,,253,,154,,,93,,,,,,,65,75,70,95,70,95,470,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,"4'11""","1,5","33,1",15,,,,1,,1,165,75,Med Fast,50,Green,Neutral,20,Flying,,
179,Mareep,2,,,,53,53,,,,,,25,,127,,,,,,,162,,63,,,,,,,101,,,55,40,40,65,45,35,280,Electric,,Static,,Plus,"2'00""","0,6","17,2","7,8",,,,1,,,56,235,Med Slow,50,White,Neutral,20,Monster,Field,Lv. 15
180,Flaaffy,2,,,,54,54,,,,,,26,,128,,,,,,,163,,64,,,,,,,102,,,70,55,55,80,60,45,365,Electric,,Static,,Plus,"2'07""","0,8","29,3","13,3",,,,2,,,128,120,Med Slow,50,Pink,Neutral,20,Monster,Field,Lv. 30
181,Ampharos,2,,,,55,55,,,,,,27,,129,,,,,,,164,,65,,,,,,,103,,,90,75,85,115,90,55,510,Electric,,Static,,Plus,"4'07""","1,4","135,6","61,5",,,,3,,,255,45,Med Slow,50,Yellow,Neutral,20,Monster,Field,
"181,1",Ampharos (Mega),6,Mega Evolution,,,,,,,,,,,,129,,,,,,,164,,65,,,,,,,,,,90,95,105,165,110,45,610,Electric,Dragon,Mold Breaker,,,"4'07""","1,4","135,6","61,5",,,,3,,,305,45,Med Slow,50,Yellow,Neutral,20,Monster,Field,
182,Bellossom,2,,,,86,86,91,94,,,,,108,,,,,,,,,,,,,58,,,,,,65,75,80,95,90,100,50,490,Grass,,Chlorophyll,,Healer,"1'04""","0,4","12,8","5,8",,,,,3,,245,45,Med Slow,50,Green,Neutral,20,Grass,,
183,Marill,2,,,,130,132,55,56,125,125,,31,42,,,,,,,,,,,,,,140,,,47,,,70,20,50,20,50,40,250,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,"1'04""","0,4","18,7","8,5",2,,,,,,88,190,Fast,50,Blue,Neutral,10,Water 1,Fairy,Lv. 18
184,Azumarill,2,,,,131,133,56,57,126,126,,32,43,,,,,,,,,,,,,,141,,,48,,,100,50,80,60,80,50,420,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,"2'07""","0,8","62,8","28,5",3,,,,,,218,75,Fast,50,Blue,Neutral,10,Water 1,Fairy,
185,Sudowoodo,2,,,,106,107,,,93,93,,,,,130,31,31,15,,,38,38,15,,,253,,,124,88,84,,70,100,115,30,65,30,410,Rock,,Sturdy,Rock Head,Rattled,"3'11""","1,2","83,8",38,,,2,,,,144,65,Med Fast,50,Brown,Neutral,20,Mineral,,
186,Politoed,2,,,,75,75,,,,,,,,,36,152,,79,71,,185,,86,77,,,145,,,,42,,90,75,75,90,100,70,500,Water,,Water Absorb,Damp,Drizzle,"3'07""","1,1","74,7","33,9",,,,,3,,250,45,Med Slow,50,Green,Neutral,20,Water 1,,
187,Hoppip,2,,,,67,67,,,,,,,135,,,,,,,,,,,,,,,,,16,,,35,35,40,35,55,50,250,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,"1'04""","0,4","1,1","0,5",,,,,1,,50,255,Med Slow,50,Pink,Neutral,20,Fairy,Grass,Lv. 18
188,Skiploom,2,,,,68,68,,,,,,,136,,,,,,,,,,,,,,,,,17,,,55,45,50,45,65,80,340,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,"2'00""","0,6","2,2",1,,,,,,2,119,120,Med Slow,50,Green,Neutral,20,Fairy,Grass,Lv. 27
189,Jumpluff,2,,,,69,69,,,,,,,137,,,,,,,,,,,,,,,,,18,,,75,55,70,55,95,110,460,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,"2'07""","0,8","6,6",3,,,,,,3,230,45,Med Slow,50,Blue,Neutral,20,Fairy,Grass,
190,Aipom,2,,,,122,123,,,63,63,,,,,,,,,,,368,,,,115,,,,78,,47,,55,70,55,40,55,85,360,Normal,,Run Away,Pickup,Skill Link,"2'07""","0,8","25,4","11,5",,,,,,1,72,45,Fast,50,Purple,Neutral,20,Field,,Level Up (Knowing Double Hit)
191,Sunkern,2,,,,102,103,,,,,,20,,,,,,,,,,,,,,,,,,31,,,30,30,30,30,30,30,180,Grass,,Chlorophyll,Solar Power,Early Bird,"1'00""","0,3",4,"1,8",,,,1,,,36,235,Med Slow,50,Yellow,Neutral,20,Grass,,Sun Stone
192,Sunflora,2,,,,103,104,,,,,,21,,,,,,,,,,,,,,,,,,32,,,75,75,55,105,85,30,425,Grass,,Chlorophyll,Solar Power,Early Bird,"2'07""","0,8","18,7","8,5",,,,2,,,149,120,Med Slow,50,Yellow,Neutral,20,Grass,,
193,Yanma,2,,,,101,101,,,,183,,286,,87,,,,,,,,,,,,,,,105,,3,,65,65,45,75,45,95,390,Bug,Flying,Speed Boost,Compoundeyes,Frisk,"3'11""","1,2","83,8",38,,,,,,1,78,75,Med Fast,50,Red,Neutral,20,Bug,,Level Up (Knowing Ancient Power)
194,Wooper,2,,,,56,56,,,117,117,,,,,17,,,,,,,,,,,100,58,,,,5,,55,45,45,25,25,15,210,Water,Ground,Damp,Water Absorb,Unaware,"1'04""","0,4","18,7","8,5",1,,,,,,42,255,Med Fast,50,Blue,Neutral,20,Water 1,Field,Lv. 20
"194,1",Wooper (Paldean),9,Paldean Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,55,45,45,25,25,15,210,Poison,Ground,Poison Point,Water Absorb,Unaware,"1'04""","0,4","24,3",11,,,,,,,42,255,Med Fast,50,Blue,Neutral,20,Water 1,Field,Lv. 20
195,Quagsire,2,,,,57,57,,,118,118,,,,,18,,,,,,,,,,,101,59,,,,6,,95,85,85,65,65,35,430,Water,Ground,Damp,Water Absorb,Unaware,"4'07""","1,4","165,3",75,2,,,,,,151,90,Med Fast,50,Blue,Neutral,20,Water 1,Field,
196,Espeon,2,Eeveelution,,,184,188,,,,167,,95,,81,,127,,54,,,157,,58,,,200,,79,29,183,,,65,65,60,130,95,110,525,Psychic,,Synchronize,,Magic Bounce,"2'11""","0,9","58,4","26,5",,,,2,,,184,45,Med Fast,50,Purple,M (87.5%),35,Field,,
197,Umbreon,2,Eeveelution,,,185,189,,,,168,,96,,82,,128,,55,,,158,,59,,,201,,78,30,184,,,95,65,110,60,130,65,525,Dark,,Synchronize,,Inner Focus,"3'03""",1,"59,5",27,,,,,2,,184,45,Med Fast,35,Black,M (87.5%),35,Field,,
198,Murkrow,2,,,,208,213,,,74,74,,,,,51,277,,,,92,78,78,,,,,,,140,232,,,60,85,42,85,42,91,405,Dark,Flying,Insomnia,Super Luck,Prankster,"1'08""","0,5","4,6","2,1",,,,,,1,81,30,Med Slow,35,Black,Neutral,20,Flying,,Dusk Stone
199,Slowking,2,,,,82,82,,,,,,,,135,,39,39,,20,,46,46,,20,,,3,,,326,,,95,75,80,100,110,30,490,Water,Psychic,Oblivious,Own Tempo,Regenerator,"6'07""",2,"175,3","79,5",,,,,3,,172,70,Med Fast,50,Pink,Neutral,20,Monster,Water 1,
"199,1",Slowking (Galarian),8,Galarian Form,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,77,95,65,80,110,110,30,490,Poison,Psychic,Curious Medicine,Own Tempo,Regenerator,"5'11""","1,8","175,3","79,5",,,,,2,,172,70,Med Fast,50,Pink,Neutral,20,Monster,Water 1,
200,Misdreavus,2,,,,214,219,,,72,72,,,,,,66,66,,,,372,,,,119,,,,197,114,,,60,60,60,85,85,85,435,Ghost,,Levitate,,,"2'04""","0,7","2,2",1,,,,,1,,87,45,Fast,35,Gray,Neutral,25,Amorphous,,Dusk Stone
201,Unown,2,,,,61,61,,,114,114,,,,,,,,,,,,,,,,,,,142,,,,48,72,48,72,48,48,336,Psychic,,Levitate,,,"1'08""","0,5",11,5,,1,,1,,,118,225,Med Fast,50,Black,None,40,Undiscovered,,
202,Wobbuffet,2,,,,107,108,161,168,,,,,,119,,,,,,,,,,,,217,,,,,,,190,33,58,33,58,33,405,Psychic,,Shadow Tag,,Telepathy,"4'03""","1,3","62,8","28,5",2,,,,,,142,45,Med Fast,50,Blue,Neutral,20,Amorphous,,
203,Girafarig,2,,,,147,149,164,171,121,121,,,,,,,,,,,,,,,,,,,,192,,25,70,80,65,90,65,85,455,Normal,Psychic,Inner Focus,Early Bird,Sap Sipper,"4'11""","1,5","91,5","41,5",,,,2,,,159,60,Med Fast,50,Yellow,Neutral,20,Field,,Level Up (Knowing Twin Beam)
204,Pineco,2,,,,93,93,,,,,,,,,,,,,,,268,,,89,,,,,,258,,,50,65,90,35,35,15,290,Bug,,Sturdy,,Overcoat,"2'00""","0,6","15,9","7,2",,,1,,,,58,190,Med Fast,50,Gray,Neutral,20,Bug,,Lv. 31
205,Forretress,2,,,,94,94,,,,,,,,,,,,,,,269,,,90,,,,,,259,,,75,90,140,60,60,40,465,Bug,Steel,Sturdy,,Overcoat,"3'11""","1,2","277,3","125,8",,,2,,,,163,75,Med Fast,50,Purple,Neutral,20,Bug,,
206,Dunsparce,2,,,,52,52,,,,,,35,40,,,,,,,,63,63,,,,,52,,,188,160,,100,70,70,65,65,45,415,Normal,,Serene Grace,Run Away,Rattled,"4'11""","1,5","30,9",14,1,,,,,,145,190,Med Fast,50,Yellow,Neutral,20,Field,,Level Up (Knowing Hyper Drill)
207,Gligar,2,,,,189,193,,,,153,,221,,,115,,,,,,,,,,,,,,185,,121,,65,75,105,35,65,85,430,Ground,Flying,Hyper Cutter,Sand Veil,Immunity,"3'07""","1,1","142,9","64,8",,,1,,,,86,60,Med Slow,50,Purple,Neutral,20,Bug,,"Level Up (Holding Razor Fang, Night)"
208,Steelix,2,,,,63,63,,,35,35,,72,,54,,,,,,,,,,,,179,,,119,,,,75,85,200,55,65,30,510,Steel,Ground,Rock Head,Sturdy,Sheer Force,"30'02""","9,2","881,8",400,,,2,,,,179,25,Med Fast,50,Gray,Neutral,25,Mineral,,
"208,1",Steelix (Mega),6,Mega Evolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,125,230,55,95,30,610,Steel,Ground,Sand Force,,,"34'05""","10,5","1631,4",740,,,2,,,,214,25,Med Fast,50,Gray,Neutral,25,Mineral,,
209,Snubbull,2,,,,123,125,,,,,,,,71,,258,,,,73,339,,,,86,,,,,,,151,60,80,50,40,40,30,300,Fairy,,Intimidate,Run Away,Rattled,"2'00""","0,6","17,2","7,8",,1,,,,,60,190,Fast,50,Pink,F (75%),20,Field,Fairy,Lv. 23
210,Granbull,2,,,,124,126,,,,,,,,72,,259,,,,74,340,,,,87,,,,,,,152,90,120,75,60,60,45,450,Fairy,,Intimidate,Quick Feet,Rattled,"4'07""","1,4","107,4","48,7",,2,,,,,158,75,Fast,50,Purple,F (75%),20,Field,Fairy,
211,Qwilfish,2,,,,161,163,,,,,,,,38,,,,,,,,,,,,304,,,,331,,,65,95,85,55,55,85,440,Water,Poison,Poison Point,Swift Swim,Intimidate,"1'08""","0,5","8,6","3,9",,1,,,,,88,45,Med Fast,50,Gray,Neutral,20,Water 2,,
"211,1",Qwilfish (Hisuian),8,Hisuian Form,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,146,65,95,85,55,55,85,440,Dark,Poison,Poison Point,Swift Swim,Intimidate,"1'08""","0,5","8,6","3,9",,1,,,,,88,45,Med Fast,50,Black,Neutral,20,Water 2,,Use Strong Style Barb Barrage 20 Times
212,Scizor,2,,,,111,112,,,,196,,,,,137,276,,,,91,366,,,,113,,119,,74,261,,20,70,130,100,55,80,65,500,Bug,Steel,Swarm,Technician,Light Metal,"5'11""","1,8","260,1",118,,2,,,,,175,25,Med Fast,50,Red,Neutral,25,Bug,,
"212,1",Scizor (Mega),6,Mega Evolution,,,,,,,,,,,,,137,276,,,,91,366,,,,113,,,,,,,,70,150,140,65,100,75,600,Bug,Steel,Technician,,,"6'07""",2,"275,6",125,,2,,,,,210,25,Med Fast,50,Red,Neutral,25,Bug,,
213,Shuckle,2,,,,166,168,,,,,,232,,,14,,,,,,,,,,,227,,170,,,,,20,10,230,10,230,5,505,Bug,Rock,Sturdy,Gluttony,Contrary,"2'00""","0,6","45,2","20,5",,,1,,1,,177,190,Med Slow,50,Yellow,Neutral,20,Bug,,
214,Heracross,2,,,,113,114,168,175,62,62,,145,,131,,,,,,,367,,,,114,,121,,75,262,49,,80,125,75,40,95,85,500,Bug,Fighting,Swarm,Guts,Moxie,"4'11""","1,5",119,54,,2,,,,,175,45,Slow,50,Blue,Neutral,25,Bug,,
"214,1",Heracross (Mega),6,Mega Evolution,,,,,,175,,,,,,131,,,,,,,367,,,,114,,,,,,,,80,185,115,40,105,75,600,Bug,Fighting,Skill Link,,,"5'07""","1,7","137,8","62,5",,2,,,,,210,45,Slow,50,Blue,Neutral,25,Bug,,
215,Sneasel,2,,,,213,218,,,144,144,,252,,,91,249,,,121,,326,,,147,,292,,28,202,230,170,,55,95,55,35,75,115,430,Dark,Ice,Inner Focus,Keen Eye,Pickpocket,"2'11""","0,9","61,7",28,,,,,,1,86,60,Med Slow,35,Black,Neutral,20,Field,,"Level Up (Holding Razor Claw, Night)"
"215,1",Sneasel (Hisuian),8,Hisuian Form,,,,,,,,,,,,,,,,,,,,,,,,,,,202,,,,55,95,55,35,75,115,430,Fighting,Poison,Inner Focus,Keen Eye,Pickpocket,"2'11""","0,9","59,5",27,,,,,,1,86,60,Med Slow,35,Gray,Neutral,20,Field,,Level Up (Holding Razor Claw During Day)
216,Teddiursa,2,,,,193,198,,,,,,,,,132,,,,,,,,,,,,,,112,215,,,60,80,50,50,50,40,330,Normal,,Pickup,Quick Feet,Honey Gather,"2'00""","0,6","19,4","8,8",,1,,,,,66,120,Med Fast,50,Brown,Neutral,20,Field,,Lv. 30
217,Ursaring,2,,,,194,199,,,,,,,,,133,,,,,,,,,,,,,,113,216,,,90,130,75,75,75,55,500,Normal,,Guts,Quick Feet,Unnerve,"5'11""","1,8","277,3","125,8",,2,,,,,175,60,Med Fast,50,Brown,Neutral,20,Field,,Peat Block (During Full Moon)
218,Slugma,2,,,,211,216,103,108,,,,,,,12,,,,,,,,,,,,,,,,144,,40,40,40,70,40,20,250,Fire,,Magma Armor,Flame Body,Weak Armor,"2'04""","0,7","77,2",35,,,,1,,,50,190,Med Fast,50,Red,Neutral,20,Amorphous,,Lv. 38
219,Magcargo,2,,,,212,217,104,109,,,,,,,13,,,,,,,,,,,,,,,,145,,60,50,120,90,80,30,430,Fire,Rock,Magma Armor,Flame Body,Weak Armor,"2'07""","0,8","121,3",55,,,2,,,,151,75,Med Fast,50,Red,Neutral,20,Amorphous,,
220,Swinub,2,,,,191,195,,,,203,,258,,,76,,,,,,,,,,,75,,7,212,,50,,50,50,40,30,30,50,250,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,"1'04""","0,4","14,3","6,5",,1,,,,,50,225,Slow,50,Brown,Neutral,20,Field,,Lv. 33
221,Piloswine,2,,,,192,196,,,,204,,259,,,77,,,,,,,,,,,76,,8,213,,51,,100,100,80,60,60,50,450,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,"3'07""","1,1",123,"55,8",1,1,,,,,158,75,Slow,50,Brown,Neutral,20,Field,,Level Up (Knowing Ancient Power)
222,Corsola,2,,,,171,173,180,189,,,,237,,146,,112,112,44,,,135,135,44,,,236,,,,,,,65,55,95,65,95,35,410,Water,Rock,Hustle,Natural Cure,Regenerator,"2'00""","0,6",11,5,,,1,,1,,144,60,Fast,50,Pink,F (75%),20,Water 1,Water 3,
"222,1",Corsola (Galarian),8,Galarian Form,,,,,,,,,,,,,,,,,,,,,,,,236,,,,,,,60,55,100,65,100,30,410,Ghost,,Weak Armor,,Cursed Body,"2'00""","0,6","1,1","0,5",,,,,1,,144,60,Fast,50,White,F (75%),20,Water 1,Water 3,Lv. 38
223,Remoraid,2,,,,172,174,,,132,132,,235,,144,,,,,,,143,143,47,,,148,44,,146,,,,35,65,35,65,35,65,300,Water,,Hustle,Sniper,Moody,"2'00""","0,6","26,5",12,,,,1,,,60,190,Med Fast,50,Gray,Neutral,20,Water 1,Water 2,Lv. 25
224,Octillery,2,,,,173,175,,,133,133,,236,,145,,,,,,,144,144,48,,,149,45,,147,,,,75,105,75,105,75,45,480,Water,,Suction Cups,Sniper,Moody,"2'11""","0,9","62,8","28,5",,1,,1,,,168,75,Med Fast,50,Red,Neutral,20,Water 1,Water 2,
225,Delibird,2,,,,190,194,,,,,,254,,,90,81,81,,,,95,95,,,,78,,120,,354,,,45,55,45,65,45,75,330,Ice,Flying,Vital Spirit,Hustle,Insomnia,"2'11""","0,9","35,3",16,,,,,,1,116,45,Fast,50,Red,Neutral,20,Water 1,Field,
226,Mantine,2,,,,197,202,,,141,141,,234,,140,,,,,,,146,146,50,,,355,47,,165,,,,85,40,70,80,140,70,485,Water,Flying,Swift Swim,Water Absorb,Water Veil,"6'11""","2,1",485,220,,,,,2,,170,25,Slow,50,Purple,Neutral,25,Water 1,,
227,Skarmory,2,,,,198,203,115,120,,,,203,,,112,208,,,80,72,270,,,91,85,,153,,,,,113,65,80,140,40,70,70,465,Steel,Flying,Keen Eye,Sturdy,Weak Armor,"5'07""","1,7","111,3","50,5",,,2,,,,163,25,Slow,50,Gray,Neutral,25,Flying,,
228,Houndour,2,,,,209,214,,,,176,,,,75,,,,,,,289,,,110,,,,,,25,123,,45,60,30,80,50,65,330,Dark,Fire,Early Bird,Flash Fire,Unnerve,"2'00""","0,6","23,8","10,8",,,,1,,,66,120,Slow,35,Black,Neutral,20,Field,,Lv. 24
229,Houndoom,2,,,,210,215,,,,177,,,,76,,,,,,,290,,,111,,,,,,26,124,,75,90,50,110,80,95,500,Dark,Fire,Early Bird,Flash Fire,Unnerve,"4'07""","1,4","77,2",35,,,,2,,,175,45,Slow,35,Black,Neutral,20,Field,,
"229,1",Houndoom (Mega),6,Mega Evolution,,,,,,,,,,,,76,,,,,,,290,,,111,,,,,,,,,75,90,90,140,90,115,600,Dark,Fire,Solar Power,,,"6'03""","1,9","109,1","49,5",,,,2,,,210,45,Slow,50,Black,Neutral,20,Field,,
230,Kingdra,2,,,,188,192,186,195,,,,,,41,,,,,,,,,,,,,200,,,,,54,75,95,95,95,95,85,540,Water,Dragon,Swift Swim,Sniper,Damp,"5'11""","1,8","335,1",152,,1,,1,1,,270,45,Med Fast,50,Blue,Neutral,20,Water 1,Dragon,
231,Phanpy,2,,,,195,200,165,172,,,,,,,,,,,,,,,,,,,,,,122,,,90,60,60,40,40,40,330,Ground,,Pickup,,Sand Veil,"1'08""","0,5","73,9","33,5",1,,,,,,66,120,Med Fast,50,Blue,Neutral,20,Field,,Lv. 25
232,Donphan,2,,,,196,201,166,173,,,,,,,,,,,,,,,,,,,,,,123,,,90,120,120,60,60,50,500,Ground,,Sturdy,,Sand Veil,"3'07""","1,1","264,6",120,,1,1,,,,175,60,Med Fast,50,Gray,Neutral,20,Field,,
233,Porygon2,2,,,,216,221,,,,193,,,,,,218,,,90,,282,,,103,,,209,,134,,,130,85,80,90,105,95,60,515,Normal,,Trace,Download,Analytic,"2'00""","0,6","71,7","32,5",,,,2,,,180,45,Med Fast,50,Red,None,20,Mineral,,Trade (Holding Dubious Disc)
234,Stantler,2,,,,129,131,,,,,,,,,,,,,,,,,,,,,,,49,204,53,,73,95,62,85,65,85,465,Normal,,Intimidate,Frisk,Sap Sipper,"4'07""","1,4",157,"71,2",,1,,,,,163,45,Slow,50,Brown,Neutral,20,Field,,Use Agile Psyshield Bash 20 Times
235,Smeargle,2,,,,157,159,,,,,,,124,,,58,58,,,,70,70,,,,,,,,,,40,55,20,35,20,45,75,250,Normal,,Own Tempo,Technician,Moody,"3'11""","1,2","127,9",58,,,,,,1,88,45,Fast,50,White,Neutral,20,Field,,
236,Tyrogue,2,Baby,,,143,145,,,,,,,,,,,,,,,,,,,,107,,,,,,92,35,35,35,35,35,35,210,Fighting,,Guts,Steadfast,Vital Spirit,"2'04""","0,7","46,3",21,,1,,,,,42,75,Med Fast,50,Purple,M (100%),25,Undiscovered,,Lv. 20 (Atk>Def)/Lv. 20 (Atk<Def)/Lv. 20 (Atk=Def)
237,Hitmontop,2,,,,146,148,,,,,,,,,,,,,,,,,,,,110,,,,,,95,50,95,95,35,110,70,455,Fighting,,Intimidate,Technician,Steadfast,"4'07""","1,4","105,8",48,,,,,2,,159,45,Med Fast,50,Brown,M (100%),25,Human-Like,,
238,Smoochum,2,Baby,,,152,154,,,,,,,,,83,,,,,,109,109,,,,,,13,,,,,45,30,15,85,65,65,305,Ice,Psychic,Oblivious,Forewarn,Hydration,"1'04""","0,4","13,2",6,,,,1,,,61,45,Med Fast,50,Pink,F (100%),25,Undiscovered,,Lv. 30
239,Elekid,2,Baby,,,154,156,,,,197,,56,,,,226,,,98,,295,,,116,,,,15,182,,,10,45,63,37,65,55,95,360,Electric,,Static,,Vital Spirit,"2'00""","0,6","51,8","23,5",,,,,,1,72,45,Med Fast,50,Yellow,M (75%),25,Undiscovered,,Lv. 30
240,Magby,2,Baby,,,150,152,,,,200,,53,,,,166,,93,,,200,,101,,,,,18,174,,,13,45,75,37,70,55,83,365,Fire,,Flame Body,,Vital Spirit,"2'04""","0,7","47,2","21,4",,,,,,1,73,45,Med Fast,50,Red,M (75%),25,Undiscovered,,Lv. 30
241,Miltank,2,,,,149,151,,,,,,,,126,,138,,65,,62,171,,72,,74,,117,,,,,,95,80,105,40,70,100,490,Normal,,Thick Fat,Scrappy,Sap Sipper,"3'11""","1,2","166,4","75,5",,,2,,,,172,45,Slow,50,Pink,F (100%),20,Field,,
242,Blissey,2,,,,218,223,,,98,98,,,,,,34,34,18,17,10,41,41,18,17,17,,8,,88,45,,18,255,10,10,75,135,55,540,Normal,,Natural Cure,Serene Grace,Healer,"4'11""","1,5","103,2","46,8",3,,,,,,635,30,Fast,140,Pink,F (100%),40,Fairy,,
